course_name,basic_concepts,intermediate_concepts,advanced_concepts,estimated_time_basic,estimated_time_intermediate,estimated_time_advanced
Cloud Computing,"Introduction to AWS, Basics of Google Cloud and Azure, Projects on S3","Deep dive into Google Cloud and S3, Advanced EC2 concepts, Hands-on project with Azure","Mastering Azure and AWS, Advanced practices in Google Cloud, Capstone Project using EC2 and S3",2-3 weeks,4-5 weeks,6-8 weeks
UI/UX Design,"Introduction to User Research, Basics of Figma and Wireframing, Projects on Prototyping","Deep dive into Prototyping and Figma, Advanced Wireframing concepts, Hands-on project with User Research","Mastering Wireframing and Prototyping, Advanced practices in User Research, Capstone Project using Usability Testing and Figma",2-3 weeks,4-5 weeks,6-8 weeks
Web Development,"Introduction to CSS, Basics of Node.js and React, Projects on HTML","Deep dive into JavaScript and HTML, Advanced Node.js concepts, Hands-on project with React","Mastering HTML and React, Advanced practices in Node.js, Capstone Project using JavaScript and CSS",2-3 weeks,4-5 weeks,6-8 weeks
Edge Computing,"Introduction to Edge Computing, Basics of Networking and IOT, Projects on Cloud Computing","Deep dive into Edge Computing and IOT, Advanced Cloud Computing concepts, Hands-on project with Networking","Mastering IOT and Distributed Systems, Advanced practices in Edge Computing, Capstone Project using Cloud Computing and Networking",2-3 weeks,4-5 weeks,6-8 weeks
Java,"Introduction to Multithreading, Basics of OOP and Java, Projects on Collections","Deep dive into Data Structures and Multithreading, Advanced OOP concepts, Hands-on project with Java","Mastering Collections and Data Structures, Advanced practices in Java, Capstone Project using Multithreading and OOP",2-3 weeks,4-5 weeks,6-8 weeks
Azure Cloud,"Introduction to Azure Functions, Basics of AI Services and Azure, Projects on Data Lakes","Deep dive into Azure and Data Lakes, Advanced Cloud Services concepts, Hands-on project with AI Services","Mastering Azure Functions and Data Lakes, Advanced practices in Cloud Services, Capstone Project using Azure and AI Services",2-3 weeks,4-5 weeks,6-8 weeks
Vue.js,"Introduction to Routing, Basics of Vue.js and Web Development, Projects on JavaScript","Deep dive into Vue.js and Web Development, Advanced JavaScript concepts, Hands-on project with Routing","Mastering Web Development and Components, Advanced practices in JavaScript, Capstone Project using Vue.js and Routing",2-3 weeks,4-5 weeks,6-8 weeks
Spark,"Introduction to Data Pipelines, Basics of Machine Learning and Distributed Computing, Projects on Big Data","Deep dive into Machine Learning and Distributed Computing, Advanced Spark concepts, Hands-on project with Big Data","Mastering Spark and Machine Learning, Advanced practices in Big Data, Capstone Project using Distributed Computing and Data Pipelines",2-3 weeks,4-5 weeks,6-8 weeks
Python,"Introduction to Python, Basics of Control Flow and Functions, Projects on OOP","Deep dive into Control Flow and Functions, Advanced Python concepts, Hands-on project with Data Types","Mastering Data Types and OOP, Advanced practices in Python, Capstone Project using Control Flow and Functions",2-3 weeks,4-5 weeks,6-8 weeks
SEO,"Introduction to Keywords, Basics of Backlinks and SEO, Projects on On-Page SEO","Deep dive into Backlinks and Keywords, Advanced SEO concepts, Hands-on project with Content Optimization","Mastering SEO and Keywords, Advanced practices in Backlinks, Capstone Project using On-Page SEO and Content Optimization",2-3 weeks,4-5 weeks,6-8 weeks
Django,"Introduction to ORM, Basics of REST APIs and Python, Projects on Web Development","Deep dive into REST APIs and ORM, Advanced Python concepts, Hands-on project with Django","Mastering REST APIs and ORM, Advanced practices in Python, Capstone Project using Django and Web Development",2-3 weeks,4-5 weeks,6-8 weeks
Deep Learning,"Introduction to CNNs, Basics of Keras and TensorFlow, Projects on RNNs","Deep dive into CNNs and RNNs, Advanced Keras concepts, Hands-on project with Neural Networks","Mastering RNNs and TensorFlow, Advanced practices in Neural Networks, Capstone Project using Keras and CNNs",2-3 weeks,4-5 weeks,6-8 weeks
Big Data,"Introduction to Data Lakes, Basics of Distributed Systems and Big Data, Projects on Spark","Deep dive into Hadoop and Distributed Systems, Advanced Data Lakes concepts, Hands-on project with Big Data","Mastering Hadoop and Data Lakes, Advanced practices in Big Data, Capstone Project using Distributed Systems and Spark",2-3 weeks,4-5 weeks,6-8 weeks
AWS Solutions Architect,"Introduction to AWS, Basics of Lambda and S3, Projects on VPC","Deep dive into Lambda and S3, Advanced AWS concepts, Hands-on project with VPC","Mastering S3 and VPC, Advanced practices in AWS, Capstone Project using EC2 and Lambda",2-3 weeks,4-5 weeks,6-8 weeks
Networking,"Introduction to Networking Protocols, Basics of Network Security and Switches, Projects on TCP/IP","Deep dive into Network Security and Routers, Advanced Switches concepts, Hands-on project with TCP/IP","Mastering Routers and Network Security, Advanced practices in TCP/IP, Capstone Project using Networking Protocols and Switches",2-3 weeks,4-5 weeks,6-8 weeks
Salesforce,"Introduction to Lead Management, Basics of CRM and Salesforce, Projects on Customer Service","Deep dive into Salesforce and CRM, Advanced Sales Automation concepts, Hands-on project with Customer Service","Mastering Lead Management and Salesforce, Advanced practices in CRM, Capstone Project using Sales Automation and Customer Service",2-3 weeks,4-5 weeks,6-8 weeks
Power BI,"Introduction to DAX, Basics of Power Query and Power BI, Projects on Data Visualization","Deep dive into Data Visualization and Power BI, Advanced DAX concepts, Hands-on project with Power Query","Mastering Power Query and Power BI, Advanced practices in Data Visualization, Capstone Project using Dashboards and DAX",2-3 weeks,4-5 weeks,6-8 weeks
IOT,"Introduction to Networking, Basics of Sensors and Embedded Systems, Projects on IOT","Deep dive into IOT and Data Analytics, Advanced Embedded Systems concepts, Hands-on project with Networking","Mastering Embedded Systems and Sensors, Advanced practices in IOT, Capstone Project using Networking and Data Analytics",2-3 weeks,4-5 weeks,6-8 weeks
Quantum Computing,"Introduction to Quantum Algorithms, Basics of Quantum Cryptography and Qubits, Projects on Quantum Computing","Deep dive into Quantum Cryptography and Quantum Algorithms, Advanced Qubits concepts, Hands-on project with Quantum Computing","Mastering Quantum Computing and Quantum Algorithms, Advanced practices in Quantum Circuits, Capstone Project using Quantum Cryptography and Qubits",2-3 weeks,4-5 weeks,6-8 weeks
Swift,"Introduction to APIs, Basics of Swift and Core Data, Projects on iOS Development","Deep dive into Swift and Core Data, Advanced iOS Development concepts, Hands-on project with UI Design","Mastering Swift and APIs, Advanced practices in UI Design, Capstone Project using Core Data and iOS Development",2-3 weeks,4-5 weeks,6-8 weeks
Reinforcement Learning,"Introduction to Reinforcement Learning, Basics of Policy Gradient and Deep Q Networks, Projects on Q-Learning","Deep dive into Deep Q Networks and Policy Gradient, Advanced AI concepts, Hands-on project with Reinforcement Learning","Mastering Reinforcement Learning and Deep Q Networks, Advanced practices in Policy Gradient, Capstone Project using Q-Learning and AI",2-3 weeks,4-5 weeks,6-8 weeks
Natural Language Processing,"Introduction to NLP, Basics of Sentiment Analysis and Language Models, Projects on Text Processing","Deep dive into Chatbots and Text Processing, Advanced NLP concepts, Hands-on project with Sentiment Analysis","Mastering Text Processing and Sentiment Analysis, Advanced practices in Language Models, Capstone Project using NLP and Chatbots",2-3 weeks,4-5 weeks,6-8 weeks
Flask,"Introduction to Flask, Basics of REST APIs and Python, Projects on Web Development","Deep dive into Microservices and REST APIs, Advanced Python concepts, Hands-on project with Flask","Mastering Web Development and Microservices, Advanced practices in Python, Capstone Project using Flask and REST APIs",2-3 weeks,4-5 weeks,6-8 weeks
React Native,"Introduction to JavaScript, Basics of State Management and React Native, Projects on Mobile Development","Deep dive into Mobile Development and State Management, Advanced UI Design concepts, Hands-on project with React Native","Mastering React Native and JavaScript, Advanced practices in State Management, Capstone Project using UI Design and Mobile Development",2-3 weeks,4-5 weeks,6-8 weeks
C++,"Introduction to Data Structures, Basics of STL and Memory Management, Projects on OOP","Deep dive into C++ and STL, Advanced Memory Management concepts, Hands-on project with OOP","Mastering Memory Management and C++, Advanced practices in STL, Capstone Project using Data Structures and OOP",2-3 weeks,4-5 weeks,6-8 weeks
Financial Modeling,"Introduction to Budgeting, Basics of Cash Flow Analysis and Forecasting, Projects on Financial Modeling","Deep dive into Financial Modeling and Budgeting, Advanced Cash Flow Analysis concepts, Hands-on project with Forecasting","Mastering Excel and Financial Modeling, Advanced practices in Cash Flow Analysis, Capstone Project using Budgeting and Forecasting",2-3 weeks,4-5 weeks,6-8 weeks
Artificial Intelligence,"Introduction to Reinforcement Learning, Basics of NLP and Deep Learning, Projects on Python","Deep dive into Deep Learning and Python, Advanced Neural Networks concepts, Hands-on project with NLP","Mastering Python and Reinforcement Learning, Advanced practices in NLP, Capstone Project using Neural Networks and Deep Learning",2-3 weeks,4-5 weeks,6-8 weeks
Pytorch,"Introduction to Pytorch, Basics of CNNs and Neural Networks, Projects on RNNs","Deep dive into CNNs and Neural Networks, Advanced Pytorch concepts, Hands-on project with RNNs","Mastering Pytorch and CNNs, Advanced practices in Deep Learning, Capstone Project using Neural Networks and RNNs",2-3 weeks,4-5 weeks,6-8 weeks
Business Analytics,"Introduction to Data Analysis, Basics of Power BI and Excel, Projects on Pivot Tables","Deep dive into Pivot Tables and Tableau, Advanced Excel concepts, Hands-on project with Data Analysis","Mastering Tableau and Excel, Advanced practices in Power BI, Capstone Project using Pivot Tables and Data Analysis",2-3 weeks,4-5 weeks,6-8 weeks
Data Governance,"Introduction to Compliance, Basics of Data Governance and Data Privacy, Projects on Regulations","Deep dive into Data Governance and Regulations, Advanced Compliance concepts, Hands-on project with Data Quality","Mastering Data Governance and Data Quality, Advanced practices in Data Privacy, Capstone Project using Regulations and Compliance",2-3 weeks,4-5 weeks,6-8 weeks
Node.js,"Introduction to APIs, Basics of Express.js and Backend Development, Projects on Node.js","Deep dive into Express.js and JavaScript, Advanced Backend Development concepts, Hands-on project with APIs","Mastering JavaScript and APIs, Advanced practices in Node.js, Capstone Project using Express.js and Backend Development",2-3 weeks,4-5 weeks,6-8 weeks
Game Development,"Introduction to AI for Games, Basics of Game Physics and 3D Modeling, Projects on Unity","Deep dive into 3D Modeling and Game Physics, Advanced C# concepts, Hands-on project with Unity","Mastering 3D Modeling and Game Physics, Advanced practices in Unity, Capstone Project using C# and AI for Games",2-3 weeks,4-5 weeks,6-8 weeks
PHP,"Introduction to Web Development, Basics of PHP and Laravel, Projects on API Development","Deep dive into Laravel and API Development, Advanced MySQL concepts, Hands-on project with PHP","Mastering API Development and Web Development, Advanced practices in PHP, Capstone Project using MySQL and Laravel",2-3 weeks,4-5 weeks,6-8 weeks
Cybersecurity,"Introduction to Penetration Testing, Basics of Network Security and Ethical Hacking, Projects on Cryptography","Deep dive into Ethical Hacking and Network Security, Advanced Cryptography concepts, Hands-on project with Penetration Testing","Mastering Cryptography and Ethical Hacking, Advanced practices in Penetration Testing, Capstone Project using Network Security",2-3 weeks,4-5 weeks,6-8 weeks
Kotlin,"Introduction to Kotlin, Basics of Coroutines and Android Development, Projects on Concurrency","Deep dive into Kotlin and Concurrency, Advanced OOP concepts, Hands-on project with Coroutines","Mastering Android Development and Coroutines, Advanced practices in Concurrency, Capstone Project using Kotlin and OOP",2-3 weeks,4-5 weeks,6-8 weeks
Blockchain,"Introduction to Solidity, Basics of Ethereum and Smart Contracts, Projects on Decentralized Apps","Deep dive into Solidity and Ethereum, Advanced Decentralized Apps concepts, Hands-on project with Smart Contracts","Mastering Smart Contracts and Decentralized Apps, Advanced practices in Ethereum, Capstone Project using Solidity",2-3 weeks,4-5 weeks,6-8 weeks
Excel,"Introduction to Pivot Tables, Basics of Formulas and Macros, Projects on Excel","Deep dive into Formulas and Excel, Advanced Macros concepts, Hands-on project with Data Analysis","Mastering Pivot Tables and Formulas, Advanced practices in Macros, Capstone Project using Data Analysis and Excel",2-3 weeks,4-5 weeks,6-8 weeks
Data Engineering,"Introduction to Data Pipelines, Basics of Spark and ETL, Projects on Hadoop","Deep dive into ETL and SQL, Advanced Data Pipelines concepts, Hands-on project with Hadoop","Mastering Hadoop and ETL, Advanced practices in SQL, Capstone Project using Spark and Data Pipelines",2-3 weeks,4-5 weeks,6-8 weeks
TensorFlow,"Introduction to Neural Networks, Basics of RNNs and TensorFlow, Projects on CNNs","Deep dive into Deep Learning and RNNs, Advanced TensorFlow concepts, Hands-on project with CNNs","Mastering TensorFlow and RNNs, Advanced practices in Deep Learning, Capstone Project using Neural Networks and CNNs",2-3 weeks,4-5 weeks,6-8 weeks
